final_cluster_id,week,complaint_count
250,2016-10-10,2
250,2016-10-31,1
250,2016-11-28,1
250,2017-05-15,1
250.0,2015-08-31,1
250.0,2016-01-11,1
250.0,2016-02-15,1
250.0,2016-04-25,1
250.0,2017-01-23,1
250.0,2017-03-20,1
250.0,2017-05-29,1
250.0,2017-06-26,1
250.0,2017-07-10,2
250.0,2017-08-07,1
251,2015-03-30,2
251,2015-05-04,1
251,2015-05-11,3
251,2015-05-18,1
251,2015-05-25,1
251,2015-06-01,1
251,2015-06-15,2
251,2015-07-27,2
251,2015-08-03,1
251,2015-08-24,1
251,2015-09-07,1
251,2015-11-09,1
251,2016-01-04,2
251,2016-04-25,1
251,2016-05-23,1
251,2016-06-27,1
251,2016-07-25,2
251,2016-11-28,1
251,2016-12-12,1
251,2017-01-09,1
251,2017-03-13,1
251.0,2016-04-25,1
251.0,2017-06-26,1
251.0,2017-07-03,1
251.0,2017-07-10,1
252,2015-03-23,1
252,2015-03-30,1
252,2015-04-13,1
252,2015-04-20,1
252,2015-05-25,1
252,2015-06-01,1
252,2015-08-17,1
252,2015-10-12,1
252,2016-01-04,1
252,2016-01-25,1
252,2016-02-08,1
252,2016-04-18,1
252,2016-05-09,1
252,2016-05-23,1
252,2016-06-13,1
252,2016-06-27,1
252,2016-07-18,1
252,2016-07-25,3
252,2016-08-01,1
252,2016-08-15,2
252,2016-08-22,1
252,2016-08-29,2
252,2016-09-12,1
252,2016-09-26,1
252,2016-11-28,1
252,2016-12-05,2
252,2016-12-12,1
252,2016-12-19,1
252,2017-01-23,3
252,2017-02-06,1
252,2017-02-13,1
252,2017-02-27,1
252,2017-04-24,3
252,2017-05-15,2
252.0,2015-06-22,1
252.0,2015-08-24,1
252.0,2015-11-09,1
252.0,2016-01-18,1
252.0,2016-02-08,1
252.0,2016-03-14,1
252.0,2016-08-29,1
252.0,2016-09-19,1
252.0,2016-09-26,1
252.0,2016-10-24,1
252.0,2016-11-14,1
252.0,2016-12-05,1
252.0,2017-01-23,1
252.0,2017-01-30,1
252.0,2017-02-20,2
252.0,2017-05-15,1
252.0,2017-06-19,1
252.0,2017-07-03,3
252.0,2017-07-17,4
252.0,2017-07-24,3
252.0,2017-07-31,1
253,2015-04-13,1
253,2015-05-04,1
253,2015-07-20,1
253,2015-07-27,1
253,2015-08-03,1
253,2015-09-21,1
253,2015-10-19,1
253,2016-02-15,1
253,2016-02-22,1
253,2016-04-18,1
253,2016-05-02,1
253,2016-05-16,1
253,2016-06-13,1
253,2016-06-27,1
253,2016-07-11,1
253,2016-08-08,1
253,2016-09-12,1
253,2016-10-03,1
253,2016-10-24,2
253,2016-11-21,1
253,2016-12-26,1
253,2017-02-13,1
253,2017-02-27,1
253,2017-03-20,2
253,2017-03-27,1
253,2017-04-17,1
253.0,2015-12-21,1
253.0,2016-01-18,1
253.0,2016-07-18,1
253.0,2017-03-27,1
